modele,accuracy,precision,recall
Multiclasse,0.8818181818181818,0.8821573841580242,0.8818181818181818
OneVsRest,0.8863636363636364,0.8870264978299549,0.8863636363636364
Lasso_CV,0.8863636363636364,0.8959619450317126,0.8863636363636364
