modele,classe,auc
Multiclasse,0,0.9768604220659015
Multiclasse,1,0.9832957957957958
Multiclasse,2,0.9871343946686413
Multiclasse,macro,0.9823984337873226
OneVsRest,0,0.9777860051832655
OneVsRest,1,0.9786974474474475
OneVsRest,2,0.98639392817475
OneVsRest,macro,0.9808558558558558
Lasso_CV,0,0.9527027027027027
Lasso_CV,1,0.9330893393393392
Lasso_CV,2,0.9792669381710477
Lasso_CV,macro,0.9550130939019827
