,0,1,2
column00,0.25466054741069416,-0.3944694316463465,0.13980888423567747
niveau_anxiete,-0.061549115096002825,0.14545828100353483,-0.08390916590752232
estime_de_soi,0.1490557092965722,0.314754721154414,-0.4638104304509776
historique_sante_mentale,0.304446629951521,-0.44323444976876636,0.13878781981723226
depression,-0.08039142920612391,-0.09063630410696911,0.1710277333130923
maux_de_tete,-0.22764245311338052,-0.07082022966094041,0.298462682774287
tension_arterielle,0.6454235393235058,-4.933552757801671,4.2881292184781366
qualite_sommeil,0.1271823177822371,0.0920358164711533,-0.21921813425334555
problem_respiratoire,-0.07548997152218347,-0.007834443721324125,0.08332441524350959
niveau_bruit,-0.10664543198725412,-0.08553516565514052,0.19218059764236603
conditions_vie,-0.03093001133770243,0.0122469925788348,0.018683018758856054
securite,0.17132590473101195,-0.00469610949178256,-0.16662979523923951
besoins_elementaires,0.34260818101624574,-0.2530443242160887,-0.08956385680021497
reussite_academique,0.39026451882414254,-0.07276393149805808,-0.31750058732610703
charge_travail,-0.40696147350042905,0.3486596282535444,0.0583018452468888
relation_prof_etudiant,0.2264328175432209,-0.4482119636070359,0.22177914606381702
perspective_insertion_professionnelle,-0.013999682298861617,0.06345310840110129,-0.04945342610224607
soutien_social,1.35458136900565,-1.9206018907717242,0.5660205217661365
pression_des_paires,-0.16006715514657696,-0.02731686504585663,0.1873840201924173
activites_extrascolaires,-0.23559190360900212,0.11677764782864988,0.11881425578035064
harcelement,-0.05346365214086518,-0.16213366512386604,0.21559731726475062
