,0,1,2
column00,0.2976052679585057,-0.6141447678825588,0.131281611487729
niveau_anxiete,-0.12317288103837276,0.20442990109650752,-0.11916963201361896
estime_de_soi,0.39909505597993,0.5562940720643464,-0.6712503841782446
historique_sante_mentale,0.4112336641790062,-0.7643275063038028,0.17002643813897872
depression,-0.20111494399649327,-0.1564171440951627,0.24428020348792565
maux_de_tete,-0.41833740174096723,-0.17806753402462025,0.4631612491126195
tension_arterielle,3.5518488514456172,-6.560779602864322,7.691668753180909
qualite_sommeil,0.27649650363926426,0.12317793835656465,-0.3243235033510053
problem_respiratoire,-0.13433657842622126,-0.047390767018432096,0.12989498016408382
niveau_bruit,-0.19840571286533962,-0.11848187335457833,0.33271931255804615
conditions_vie,-0.029440736912306555,0.018687927693801523,0.0023372366863311923
securite,0.30354519571190697,-0.03614167601655929,-0.2315499097380402
besoins_elementaires,0.5273775573022976,-0.560951353429274,-0.18532917529525922
reussite_academique,0.6603616445716379,-0.15704205492202794,-0.4892188844304916
charge_travail,-0.6320755521770214,0.6093987819318852,0.15937131400319982
relation_prof_etudiant,0.2474097008201826,-0.9679045392021512,0.25003042486141847
perspective_insertion_professionnelle,-0.050372173925794454,0.12467641054196507,-0.059829898598877496
soutien_social,1.9143088990896118,-3.908748456976993,0.744373507922176
pression_des_paires,-0.3227048104895741,-0.1389264597835903,0.31062351535309474
activites_extrascolaires,-0.37401343021568395,0.1562928192448122,0.19530599798481463
harcelement,-0.1930181372678003,-0.4456814670830703,0.3320731400720578
